Section_ID,Chainage,_1000,_2000,_3000,_4000,SectionID,Direction,StartCh,EndCh,Length
Section,452.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,453.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,454.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,454.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,455.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,456.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,457.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,458.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,459.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,460.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,461.0,0,8,0,0,1440U5060_/0010,R,320,340,20
Section,462.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,463.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,464.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,465.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,466.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,467.0,0,0,0,17,1440U5060_/0010,R,320,340,20
Section,468.0,0,0,0,17,1440U5060_/0010,R,320,340,20
Section,469.0,16,0,0,17,1440U5060_/0010,R,320,340,20
Section,470.0,16,0,0,0,1440U5060_/0010,R,320,340,20
Section,471.0,16,0,0,0,1440U5060_/0010,R,320,340,20
Section,472.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,473.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,474.0,0,0,0,0,1440U5060_/0010,R,320,340,20
Section,474.0,0,0,0,0,1440U5060_/0010,R,340,360,20
Section,475.0,0,8,8,8,1440U5060_/0010,R,340,360,20
Section,476.0,0,8,8,8,1440U5060_/0010,R,340,360,20
Section,477.0,0,0,0,0,1440U5060_/0010,R,340,360,20
Section,478.0,0,0,0,0,1440U5060_/0010,R,340,360,20
Section,479.0,0,0,0,0,1440U5060_/0010,R,340,360,20
Section,480.0,0,0,0,0,1440U5060_/0010,R,340,360,20
Section,481.0,0,0,0,0,1440U5060_/0010,R,340,360,20
Section,482.0,0,0,0,7,1440U5060_/0010,R,340,360,20
